Post	Number	Research grade	Reference
fable5-day3-farm	1	Primary – collaborator	Von Stetton, J. (n.d.). Holistics Unlimited [Website]. https://www.holisticsunlimited.com
fable5-day3-farm	2	Reference – encyclopedia	Piczo. (2024). In Wikipedia. https://en.wikipedia.org/wiki/Piczo
fable5-day3-farm	3	Primary – software/code	Buchanan, N. (2026). TheFarm [Computer software]. GitHub. https://github.com/nicholasscotbuchanan/thefarm
fable5-day3-farm	4	Primary – video	Buchanan, N. [buckyCodes]. (2026). Five days of Fable 5, Day 3: The Farm (Jeff's, not Clarkson's) [Video]. YouTube. https://youtu.be/xfO2Hzsjaok
